date,value
2022-11-04,2533.0
2022-11-05,18894.0
2022-11-06,11557.0
2022-11-07,2855.0
2022-11-08,7911.0
2022-11-09,5929.0
2022-11-10,11168.0
2022-11-11,10877.0
2022-11-12,3581.0
2022-11-13,12910.0
2022-11-14,7003.0
2022-11-15,6191.0
2022-11-16,9290.0
2022-11-17,6645.0
2022-11-18,11759.0
2022-11-19,7638.0
2022-11-20,8339.0
2022-11-21,2151.0
2022-11-22,5150.0
2022-11-23,6129.0
2022-11-24,3659.0
2022-11-25,4968.0
2022-11-26,2860.0
2022-11-27,2352.0
2022-11-28,1405.0
2022-11-29,5535.0
2022-11-30,15379.0
2022-12-01,7817.0
2022-12-02,5297.0
2022-12-03,5963.0
2022-12-04,5048.0
2022-12-05,3726.0
2022-12-06,7066.0
2022-12-07,4000.0
2022-12-08,8008.0
2022-12-09,4009.0
2022-12-10,12982.0
2022-12-11,5250.0
2022-12-12,6409.0
2022-12-13,6632.0
2022-12-14,6371.0
2022-12-15,11061.0
2022-12-16,9874.0
2022-12-17,390.0
2022-12-18,8924.0
2022-12-19,2768.0
2022-12-20,7098.0
2022-12-21,4800.0
2022-12-22,5881.0
2022-12-23,6518.0
2022-12-24,16263.0
2022-12-25,8310.0
2022-12-26,6873.0
2022-12-27,8138.0
2022-12-28,5764.0
2022-12-29,6157.0
2022-12-30,7307.0
2022-12-31,4804.0
2023-01-01,1238.0
2023-01-02,2653.0
2023-01-03,4964.0
2023-01-04,2686.0
2023-01-05,7039.0
2023-01-06,3560.0
2023-01-07,2604.0
2023-01-08,2059.0
2023-01-09,3295.0
2023-01-10,12202.0
2023-01-11,2339.0
2023-01-12,8959.0
2023-01-13,2407.0
2023-01-14,1494.0
2023-01-15,2937.0
2023-01-16,2218.0
2023-01-17,2587.0
2023-01-18,7440.0
2023-01-19,2565.0
2023-01-20,612.0
2023-01-21,4647.0
2023-01-22,5120.0
2023-01-23,2219.0
2023-01-24,4387.0
2023-01-25,1597.0
2023-01-26,1517.0
2023-01-27,546.0
2023-01-28,560.0
2023-01-29,601.0
2023-01-30,3485.0
2023-01-31,5682.0
2023-02-01,3092.0
2023-02-02,667.0
2023-02-03,1967.0
2023-02-04,504.0
2023-02-05,582.0
2023-02-06,10107.0
2023-02-07,1207.0
2023-02-08,1352.0
2023-02-09,3036.0
2023-02-10,1444.0
2023-02-11,1768.0
2023-02-12,4595.0
2023-02-13,11971.0
2023-02-14,55.0
2023-02-15,2080.0
2023-02-16,4332.0
2023-02-17,3880.0
2023-02-18,1687.0
2023-02-19,779.0
2023-02-20,11230.0
2023-02-21,1302.0
2023-02-22,1725.0
2023-02-23,7799.0
2023-02-24,5795.0
2023-02-25,9490.0
2023-02-26,6112.0
2023-02-27,5498.0
2023-02-28,3618.0
2023-03-01,4173.0
2023-03-02,1470.0
2023-03-03,4813.0
2023-03-04,3399.0
2023-03-05,5264.0
2023-03-06,5177.0
2023-03-07,5744.0
2023-03-08,2410.0
2023-03-09,3486.0
2023-03-10,7090.0
2023-03-11,7465.0
2023-03-12,1867.0
2023-03-13,2191.0
2023-03-14,9012.0
2023-03-15,5166.0
2023-03-16,2211.0
2023-03-17,7507.0
2023-03-18,6058.0
2023-03-19,130.0
2023-03-20,3846.0
2023-03-21,4535.0
2023-03-22,2987.0
2023-03-23,4965.0
2023-03-24,3520.0
2023-03-25,5934.0
2023-03-26,3579.0
2023-03-27,8413.0
2023-03-28,2177.0
2023-03-29,1906.0
2023-03-30,280.0
2023-03-31,1828.0
2023-04-01,3236.0
2023-04-02,2351.0
2023-04-03,4292.0
2023-04-04,2596.0
2023-04-05,3775.0
2023-04-06,8742.0
2023-04-07,914.0
2023-04-08,4352.0
2023-04-09,3930.0
2023-04-10,3295.0
2023-04-11,3008.0
2023-04-12,1342.0
2023-04-13,2249.0
2023-04-14,4885.0
2023-04-15,1969.0
2023-04-16,605.0
2023-04-17,2549.0
2023-04-18,3058.0
2023-04-19,3091.0
2023-04-20,62.0
2023-04-21,4020.0
2023-04-22,8505.0
2023-04-23,5764.0
2023-04-24,1060.0
2023-04-25,2135.0
2023-04-26,2199.0
2023-04-27,3803.0
2023-04-28,2728.0
2023-04-29,8806.0
2023-04-30,4442.0
2023-05-01,991.0
2023-05-02,2349.0
2023-05-03,3139.0
2023-05-04,150.0
2023-05-05,3214.0
2023-05-06,3319.0
2023-05-07,236.0
2023-05-08,407.0
2023-05-09,221.0
2023-05-10,901.0
2023-05-11,2202.0
