date,value
2022-09-11,2.11097
2022-09-12,3.90739
2022-09-13,0.27172
2022-09-14,2.478455
2022-09-15,0.43468
2022-09-16,1.10958
2022-09-17,3.62201
2022-09-18,0.36442
2022-09-19,1.44617
2022-09-20,1.72936
2022-09-21,0.99352
2022-09-22,0.8666999999999999
2022-09-23,2.25447
2022-09-24,3.37559
2022-09-25,3.20203
2022-09-26,2.41103
2022-09-27,4.37952
2022-09-28,9.823405
2022-09-29,12.835663
2022-09-30,15.157683
2022-10-01,10.003463
2022-10-02,3.6379099999999998
2022-10-03,4.722346
2022-10-04,4.89392
2022-10-05,5.12477
2022-10-06,4.173577
2022-10-07,4.190669
2022-10-08,5.5191230000000004
2022-10-09,6.209408
2022-10-10,4.64859
2022-10-11,9.630718
2022-10-12,6.0492099999999995
2022-10-13,3.6869199999999998
2022-10-14,6.16509
2022-10-15,9.261843
2022-10-16,6.301025
2022-10-17,4.27856
2022-10-18,7.12661
2022-10-19,8.389314
2022-10-20,8.471505
2022-10-21,10.316973
2022-10-22,1.2921
2022-10-23,4.8028699999999995
2022-10-24,4.14021
2022-10-25,5.12382
2022-10-26,4.18053
2022-10-27,8.103211
2022-10-28,3.80645
2022-10-29,3.51181
2022-10-30,1.21295
2022-10-31,10.032503
2022-11-01,8.32656
2022-11-02,4.4201
2022-11-03,4.386706
2022-11-04,1.77251
2022-11-05,12.796818
2022-11-06,8.199866
2022-11-07,1.91869
2022-11-08,5.31286
2022-11-09,4.288065
2022-11-10,7.629214
2022-11-11,7.940708
2022-11-12,2.4032240000000002
2022-11-13,9.119607
2022-11-14,4.84547
2022-11-15,4.211159
2022-11-16,6.877693
2022-11-17,4.72535
2022-11-18,8.24386
2022-11-19,5.59558
2022-11-20,6.10256
2022-11-21,1.57012
2022-11-22,3.59333
2022-11-23,4.26815
2022-11-24,2.56634
2022-11-25,3.516933
2022-11-26,1.74865
2022-11-27,1.62183
2022-11-28,1.03838
2022-11-29,3.60108
2022-11-30,11.4136516
2022-12-01,5.489279
2022-12-02,3.75359
2022-12-03,3.90318
2022-12-04,3.30126
2022-12-05,2.71364
2022-12-06,4.945092
2022-12-07,2.93619
2022-12-08,5.56319
2022-12-09,2.87468
2022-12-10,8.418817
2022-12-11,3.6851190000000003
2022-12-12,4.324774
2022-12-13,4.39272
2022-12-14,4.443668
2022-12-15,7.295969
2022-12-16,6.807391
2022-12-17,0.26617999999999997
2022-12-18,6.2144473
2022-12-19,1.88028
2022-12-20,4.89904
2022-12-21,3.14575
2022-12-22,3.8957699999999997
2022-12-23,4.417857
2022-12-24,11.537065
2022-12-25,5.6075930000000005
2022-12-26,4.7963
2022-12-27,5.2876
2022-12-28,3.710325
2022-12-29,4.206656
2022-12-30,4.8075790000000005
2022-12-31,3.27387
2023-01-01,0.82964
2023-01-02,1.8068899999999999
2023-01-03,3.21388
2023-01-04,1.76562
2023-01-05,4.80147
2023-01-06,2.44105
2023-01-07,1.78809
2023-01-08,1.37806
2023-01-09,2.193846
2023-01-10,8.719684
2023-01-11,1.6711799999999999
2023-01-12,6.185984
2023-01-13,1.6738
2023-01-14,1.0368
2023-01-15,2.249413
2023-01-16,1.3926
2023-01-17,1.84457
2023-01-18,5.039528
2023-01-19,1.71458
2023-01-20,0.38955
2023-01-21,3.27949
2023-01-22,3.7512
2023-01-23,1.52958
2023-01-24,2.68186
2023-01-25,1.068
2023-01-26,1.1052899999999999
2023-01-27,0.39102
2023-01-28,0.39906
2023-01-29,0.42744000000000004
2023-01-30,2.47599
2023-01-31,3.734483
2023-02-01,2.047964
2023-02-02,0.46584
2023-02-03,1.44617
2023-02-04,0.34688
2023-02-05,0.41321
2023-02-06,6.64984
2023-02-07,0.82978
2023-02-08,0.95412
2023-02-09,1.96885
2023-02-10,0.99494
2023-02-11,1.19423
2023-02-12,3.06899
2023-02-13,7.74302
2023-02-14,0.03861
2023-02-15,1.3889
2023-02-16,3.26729
2023-02-17,2.58737
2023-02-18,1.23766
2023-02-19,0.50946
2023-02-20,7.4217130000000004
2023-02-21,0.86575
2023-02-22,1.13465
2023-02-23,5.496675
2023-02-24,4.064814
2023-02-25,6.490462
2023-02-26,3.89952
