date,type,value
2021-09-14,FlightsClimbed,11.0
2021-09-14,DistanceWalkingRunning,2.4715245
2021-09-15,StepCount,4255.0
2021-09-15,FlightsClimbed,8.0
2021-09-15,DistanceWalkingRunning,3.19151
2021-09-16,StepCount,2735.0
2021-09-16,FlightsClimbed,12.0
2021-09-16,DistanceWalkingRunning,2.03351
2021-09-17,StepCount,2996.0
2021-09-17,FlightsClimbed,8.0
2021-09-17,DistanceWalkingRunning,2.18363
2021-09-18,StepCount,4093.0
2021-09-18,FlightsClimbed,10.0
2021-09-18,DistanceWalkingRunning,2.8935
2021-09-19,StepCount,2492.0
2021-09-19,FlightsClimbed,13.0
2021-09-19,DistanceWalkingRunning,1.71962
2021-09-20,StepCount,4710.0
2021-09-20,FlightsClimbed,9.0
2021-09-20,DistanceWalkingRunning,3.53456
2021-09-21,StepCount,10935.0
2021-09-21,FlightsClimbed,7.0
2021-09-21,DistanceWalkingRunning,8.130682
2021-09-22,StepCount,1386.0
2021-09-22,FlightsClimbed,10.0
2021-09-22,DistanceWalkingRunning,1.07087
2021-09-23,StepCount,5617.0
2021-09-23,FlightsClimbed,3.0
2021-09-23,DistanceWalkingRunning,3.9701400000000002
2021-09-24,StepCount,3336.0
2021-09-24,FlightsClimbed,12.0
2021-09-24,DistanceWalkingRunning,2.35614
2021-09-25,StepCount,4379.0
2021-09-25,FlightsClimbed,6.0
2021-09-25,DistanceWalkingRunning,2.905371
2021-09-26,StepCount,1691.0
2021-09-26,FlightsClimbed,8.0
2021-09-26,DistanceWalkingRunning,1.14415
2021-09-27,StepCount,3688.0
2021-09-27,FlightsClimbed,6.0
2021-09-27,DistanceWalkingRunning,2.80306
2021-09-28,StepCount,2468.0
2021-09-28,FlightsClimbed,5.0
2021-09-28,DistanceWalkingRunning,1.8206489
2021-09-29,StepCount,1969.0
2021-09-29,FlightsClimbed,6.0
2021-09-29,DistanceWalkingRunning,1.45596
2021-09-30,StepCount,2406.0
2021-09-30,FlightsClimbed,6.0
2021-09-30,DistanceWalkingRunning,1.70442
2021-10-01,StepCount,3585.0
2021-10-01,FlightsClimbed,14.0
2021-10-01,DistanceWalkingRunning,2.610415
2021-10-02,StepCount,5196.0
2021-10-02,FlightsClimbed,5.0
2021-10-02,DistanceWalkingRunning,3.52785
2021-10-03,StepCount,2221.0
2021-10-03,FlightsClimbed,9.0
2021-10-03,DistanceWalkingRunning,1.5328499999999998
2021-10-04,StepCount,2875.0
2021-10-04,FlightsClimbed,5.0
2021-10-04,DistanceWalkingRunning,2.062452
2021-10-05,StepCount,4290.0
2021-10-05,FlightsClimbed,3.0
2021-10-05,DistanceWalkingRunning,3.067504
2021-10-06,StepCount,7383.0
2021-10-06,FlightsClimbed,5.0
2021-10-06,DistanceWalkingRunning,5.31579
2021-10-07,StepCount,5891.0
2021-10-07,FlightsClimbed,10.0
2021-10-07,DistanceWalkingRunning,4.16223
2021-10-08,StepCount,2133.0
2021-10-08,FlightsClimbed,6.0
2021-10-08,DistanceWalkingRunning,1.49951
2021-10-09,StepCount,5227.0
2021-10-09,FlightsClimbed,10.0
2021-10-09,DistanceWalkingRunning,3.612536
2021-10-10,StepCount,3254.0
2021-10-10,FlightsClimbed,3.0
2021-10-10,DistanceWalkingRunning,1.99132
2021-10-11,StepCount,2855.0
2021-10-11,FlightsClimbed,5.0
2021-10-11,DistanceWalkingRunning,2.02407
2021-10-12,StepCount,3773.0
2021-10-12,FlightsClimbed,12.0
2021-10-12,DistanceWalkingRunning,2.50989
2021-10-13,StepCount,2980.0
2021-10-13,FlightsClimbed,2.0
2021-10-13,DistanceWalkingRunning,1.9495200000000001
2021-10-14,StepCount,1187.0
2021-10-14,FlightsClimbed,6.0
2021-10-14,DistanceWalkingRunning,0.7880199999999999
2021-10-15,StepCount,2410.0
2021-10-15,FlightsClimbed,8.0
2021-10-15,DistanceWalkingRunning,1.686542
2021-10-16,StepCount,4846.0
2021-10-16,FlightsClimbed,15.0
2021-10-16,DistanceWalkingRunning,3.4067469
2021-10-17,StepCount,4895.0
2021-10-17,FlightsClimbed,8.0
2021-10-17,DistanceWalkingRunning,3.36115
2021-10-18,StepCount,4549.0
2021-10-18,FlightsClimbed,10.0
2021-10-18,DistanceWalkingRunning,2.96824
2021-10-19,StepCount,3776.0
2021-10-19,FlightsClimbed,11.0
2021-10-19,DistanceWalkingRunning,2.3774100000000002
2021-10-20,StepCount,4043.0
2021-10-20,FlightsClimbed,9.0
2021-10-20,DistanceWalkingRunning,2.62127
2021-10-21,StepCount,2859.0
2021-10-21,FlightsClimbed,10.0
2021-10-21,DistanceWalkingRunning,1.858258
2021-10-22,StepCount,2996.0
2021-10-22,FlightsClimbed,12.0
2021-10-22,DistanceWalkingRunning,1.96041
2021-10-23,StepCount,3135.0
2021-10-23,FlightsClimbed,9.0
2021-10-23,DistanceWalkingRunning,2.16472
2021-10-24,StepCount,3155.0
2021-10-24,FlightsClimbed,5.0
2021-10-24,DistanceWalkingRunning,2.13714
2021-10-25,StepCount,3078.0
2021-10-25,FlightsClimbed,9.0
2021-10-25,DistanceWalkingRunning,2.06386
2021-10-26,StepCount,3518.0
2021-10-26,FlightsClimbed,9.0
2021-10-26,DistanceWalkingRunning,2.34139
2021-10-27,StepCount,4022.0
2021-10-27,FlightsClimbed,5.0
2021-10-27,DistanceWalkingRunning,2.82021
2021-10-28,StepCount,6021.0
2021-10-28,FlightsClimbed,7.0
2021-10-28,DistanceWalkingRunning,3.93458
2021-10-29,StepCount,3690.0
2021-10-29,FlightsClimbed,3.0
2021-10-29,DistanceWalkingRunning,2.40766
2021-10-30,StepCount,3000.0
2021-10-30,FlightsClimbed,6.0
2021-10-30,DistanceWalkingRunning,2.07429
2021-10-31,StepCount,2567.0
2021-10-31,FlightsClimbed,3.0
2021-10-31,DistanceWalkingRunning,1.7757
2021-11-01,StepCount,2199.0
2021-11-01,FlightsClimbed,7.0
2021-11-01,DistanceWalkingRunning,1.58599
2021-11-02,StepCount,3429.0
2021-11-02,FlightsClimbed,7.0
2021-11-02,DistanceWalkingRunning,2.47046
2021-11-03,StepCount,3318.0
2021-11-03,FlightsClimbed,5.0
2021-11-03,DistanceWalkingRunning,2.29957
2021-11-04,StepCount,1354.0
2021-11-04,FlightsClimbed,6.0
2021-11-04,DistanceWalkingRunning,0.99185
2021-11-05,StepCount,1754.0
2021-11-05,FlightsClimbed,8.0
2021-11-05,DistanceWalkingRunning,1.24663
2021-11-06,StepCount,956.0
2021-11-06,FlightsClimbed,2.0
2021-11-06,DistanceWalkingRunning,0.6787838
2021-11-07,StepCount,734.0
2021-11-07,FlightsClimbed,4.0
2021-11-07,DistanceWalkingRunning,0.47265
2021-11-08,StepCount,1614.0
2021-11-08,FlightsClimbed,8.0
2021-11-08,DistanceWalkingRunning,1.07783
2021-11-09,StepCount,5231.0
2021-11-09,FlightsClimbed,7.0
2021-11-09,DistanceWalkingRunning,3.674602
2021-11-10,StepCount,5624.0
2021-11-10,FlightsClimbed,10.0
2021-11-10,DistanceWalkingRunning,3.86311
2021-11-11,StepCount,3004.0
2021-11-11,FlightsClimbed,6.0
2021-11-11,DistanceWalkingRunning,2.0571
2021-11-12,StepCount,2760.0
2021-11-12,FlightsClimbed,4.0
2021-11-12,DistanceWalkingRunning,1.88231
2021-11-13,StepCount,4306.0
2021-11-13,FlightsClimbed,2.0
2021-11-13,DistanceWalkingRunning,2.9769900000000002
2021-11-14,StepCount,3869.0
2021-11-14,FlightsClimbed,10.0
2021-11-14,DistanceWalkingRunning,2.66025
2021-11-15,StepCount,3740.0
2021-11-15,FlightsClimbed,8.0
2021-11-15,DistanceWalkingRunning,2.462689
2021-11-16,StepCount,4836.0
2021-11-16,FlightsClimbed,4.0
2021-11-16,DistanceWalkingRunning,3.0936500000000002
2021-11-17,StepCount,5549.0
2021-11-17,FlightsClimbed,13.0
2021-11-17,DistanceWalkingRunning,3.715736
2021-11-18,StepCount,113.0
2021-11-18,FlightsClimbed,1.0
2021-11-18,DistanceWalkingRunning,0.08308
2021-11-19,StepCount,500.0
2021-11-19,FlightsClimbed,5.0
2021-11-19,DistanceWalkingRunning,0.32652000000000003
2021-11-20,StepCount,893.0
2021-11-20,FlightsClimbed,1.0
2021-11-20,DistanceWalkingRunning,0.64766
2021-11-21,StepCount,475.0
2021-11-21,FlightsClimbed,3.0
2021-11-21,DistanceWalkingRunning,0.31411
2021-11-22,StepCount,2304.0
2021-11-22,FlightsClimbed,10.0
2021-11-22,DistanceWalkingRunning,1.609373
2021-11-23,StepCount,1712.0
2021-11-23,FlightsClimbed,6.0
2021-11-23,DistanceWalkingRunning,1.16507
2021-11-24,StepCount,3141.0
2021-11-24,FlightsClimbed,4.0
2021-11-24,DistanceWalkingRunning,2.29231
2021-11-25,StepCount,5173.0
2021-11-25,FlightsClimbed,9.0
2021-11-25,DistanceWalkingRunning,3.6938257
2021-11-26,StepCount,2919.0
2021-11-26,FlightsClimbed,10.0
2021-11-26,DistanceWalkingRunning,2.03591
